set	oracle_id	name	type_line	index	parent_index	depth	face	line	kind	role	source	rule	text	normalized	boundary	missed	kind_expected	kind_ok	role_ok	source_ok	context	cr_ref	structure_tags	norm_issue	disposition	annotator	note
atq	5c641df8-97d7-484b-8d0e-790279fd6177	Artifact Possession	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant artifact	Enchant artifact	ok	0	keyword_ability	yes	yes	yes	cr	702.5	keyword	fragmentation:object_type	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	5c641df8-97d7-484b-8d0e-790279fd6177	Artifact Possession	Enchantment — Aura	1		0	0	2	triggered_ability	ability	printed		Whenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {T} in its activation cost, this Aura deals 2 damage to that artifact's controller.	Whenever enchanted artifact becomes tapped or a player activates an ability of enchanted artifact without {M} in its activation cost, ~ deals N damage to that artifact's controller.	ok	0	triggered_ability	yes	yes	yes	none		compound_trigger_event;cost_symbol_in_condition	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	'{T}' appears inside the trigger condition, not as a cost; the tap_as_mana flag here is a false positive of the regex.
atq	9bd3a4bb-cc12-4e5f-a33f-77ab0c7788db	Artifact Ward	Enchantment — Aura	0		0	0	1	keyword_ability	ability	printed		Enchant creature	Enchant creature	ok	0	keyword_ability	yes	yes	yes	cr	702.5	keyword	fragmentation:object_type	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	9bd3a4bb-cc12-4e5f-a33f-77ab0c7788db	Artifact Ward	Enchantment — Aura	1		0	0	2	spell_or_static_text	ability	printed		Enchanted creature can't be blocked by artifact creatures.	Enchanted creature can't be blocked by artifact creatures.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	9bd3a4bb-cc12-4e5f-a33f-77ab0c7788db	Artifact Ward	Enchantment — Aura	2		0	0	3	prevention_effect	ability	printed		Prevent all damage that would be dealt to enchanted creature by artifact sources.	Prevent all damage that would be dealt to enchanted creature by artifact sources.	ok	0	prevention_effect	yes	yes	yes	cr	615.1a;604.1	prevention_static		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	prevention_effect kind (P-ARN-4) correct: static ability generating a CR 615 prevention effect.
atq	9bd3a4bb-cc12-4e5f-a33f-77ab0c7788db	Artifact Ward	Enchantment — Aura	3		0	0	4	spell_or_static_text	ability	printed		Enchanted creature can't be the target of abilities from artifact sources.	Enchanted creature can't be the target of abilities from artifact sources.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	4d18bcba-a346-445e-a182-6cc30b7e066d	Ashnod's Altar	Artifact	0		0	0	1	activated_ability	ability	printed		Sacrifice a creature: Add {C}{C}.	Sacrifice a creature: Add {M}{M}.	ok	0	activated_ability	yes	yes	yes	none	605.1a	mana_ability;sacrifice_cost		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	b5a390fd-2864-4481-84b4-41e8fac91a80	Ashnod's Battle Gear	Artifact	0		0	0	1	spell_or_static_text	ability	printed		You may choose not to untap this artifact during your untap step.	You may choose not to untap ~ during your untap step.	ok	0	spell_or_static_text	yes	yes	yes	none		optional_untap_static		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	b5a390fd-2864-4481-84b4-41e8fac91a80	Ashnod's Battle Gear	Artifact	1		0	0	2	activated_ability	ability	printed		{2}, {T}: Target creature you control gets +2/-2 for as long as this artifact remains tapped.	{M}, {M}: Target creature you control gets +N/-N for as long as ~ remains tapped.	ok	0	activated_ability	yes	yes	yes	none		duration_conditional	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	1a8072c9-e2b8-4173-af88-ed0dd64d10fe	Ashnod's Transmogrant	Artifact	0		0	0	1	activated_ability	ability	printed		{T}, Sacrifice this artifact: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.	{M}, Sacrifice ~: Put a +N/+N counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.	ok	0	activated_ability	yes	yes	yes	none		multi_sentence;nonmana_cost	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	3095f2cf-05c3-4381-929f-c526b6fc30a7	Atog	Creature — Atog	0		0	0	1	activated_ability	ability	printed		Sacrifice an artifact: This creature gets +2/+2 until end of turn.	Sacrifice an artifact: ~ gets +N/+N until end of turn.	ok	0	activated_ability	yes	yes	yes	none		nonmana_cost		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	e7b91fba-8d96-4040-95e8-f0023b65c497	Battering Ram	Artifact Creature — Construct	0		0	0	1	triggered_ability	ability	printed		At the beginning of combat on your turn, this creature gains banding until end of combat.	At the beginning of combat on your turn, ~ gains banding until end of combat.	ok	0	triggered_ability	yes	yes	yes	none		duration_until_end_of_combat		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	'until end of combat' is a duration, not a delayed trigger; correctly unsplit.
atq	e7b91fba-8d96-4040-95e8-f0023b65c497	Battering Ram	Artifact Creature — Construct	1		0	0	2	triggered_ability	ability	printed		Whenever this creature becomes blocked by a Wall,	Whenever ~ becomes blocked by a Wall,	over	0	triggered_ability	yes	yes	yes	cr	113.3c;603.7a	condition_only_parent;delayed_trigger_parent		defect	fable-pass1;fork-pass2;adjudicated-2026-08-26	Condition-only parent produced by the comma-level split rule (c): a bare trigger condition is a slot under CR 113.3c, not a reference unit. Adjudicated as a defect of the split rule after the corpus S11 check (0/40 sampled comma/colon parents are reference units; 108 bare-condition parents corpus-wide); revision proposed as P-ATQ-1 (D15).
atq	e7b91fba-8d96-4040-95e8-f0023b65c497	Battering Ram	Artifact Creature — Construct	2	1	1	0	2	triggered_ability	delayed_trigger	printed		destroy that Wall at end of combat.	destroy that Wall at end of combat.	ok	0	triggered_ability	yes	yes	yes	cr	603.7a;603.7e	delayed_trigger_end_of_combat		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	Child = the trigger's entire effect = creation of the end-of-combat delayed trigger (Gorgon Recluse ruling class).
atq	a1ab033f-9605-4ca2-a98b-c0b2e1599609	Bronze Tablet	Artifact	0		0	0	1	ante_instruction	ability	printed		Remove this card from your deck before playing if you're not playing for ante.	Remove ~ from your deck before playing if you're not playing for ante.	ok	0	ante_instruction	yes	yes	yes	none	407.3	ante		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	Not an ability (407.3).
atq	a1ab033f-9605-4ca2-a98b-c0b2e1599609	Bronze Tablet	Artifact	1		0	0	2	replacement_effect	ability	printed		This artifact enters tapped.	~ enters tapped.	ok	0	replacement_effect	yes	yes	yes	none	614.1c	enters_replacement		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	a1ab033f-9605-4ca2-a98b-c0b2e1599609	Bronze Tablet	Artifact	2		0	0	3	activated_ability	ability	printed		{4}, {T}: Exile this artifact and target nontoken permanent an opponent owns. That player may pay 10 life. If they do, put this card into its owner's graveyard. Otherwise, that player owns this card and you own the other exiled card.	{M}, {M}: Exile ~ and target nontoken permanent an opponent owns. That player may pay N life. If they do, put ~ into its owner's graveyard. Otherwise, that player owns ~ and you own the other exiled card.	ok	0	activated_ability	yes	yes	yes	none		multi_sentence;one_off_candidate;ownership_change	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	Ownership exchange outside the ante zone; ante-adjacent one-off.
atq	c7c7bffa-442d-4ba5-b778-ad394c192f27	Candelabra of Tawnos	Artifact	0		0	0	1	activated_ability	ability	printed		{X}, {T}: Untap X target lands.	{M}, {M}: Untap X target lands.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	2e61e9c0-a2b9-4a24-8cb0-5160accce183	Circle of Protection: Artifacts	Enchantment	0		0	0	1	activated_ability	ability	printed		{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.	{M}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.	ok	0	activated_ability	yes	yes	yes	none		cycle_member;prevention_in_effect		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	0d292575-c4ff-427a-953a-abc89e40caa6	Citanul Druid	Creature — Human Druid	0		0	0	1	triggered_ability	ability	printed		Whenever an opponent casts an artifact spell, put a +1/+1 counter on this creature.	Whenever an opponent casts an artifact spell, put a +N/+N counter on ~.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	cc1ba59c-bb70-4da9-bbd0-a466075f9053	Clay Statue	Artifact Creature — Golem	0		0	0	1	activated_ability	ability	printed		{2}: Regenerate this creature.	{M}: Regenerate ~.	ok	0	activated_ability	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	3d5b71d4-ed5e-4c6d-be70-bebbb1475257	Clockwork Avian	Artifact Creature — Bird	0		0	0	1	keyword_ability	ability	printed		Flying	Flying	ok	0	keyword_ability	yes	yes	yes	cr	702.9	keyword		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	3d5b71d4-ed5e-4c6d-be70-bebbb1475257	Clockwork Avian	Artifact Creature — Bird	1		0	0	2	replacement_effect	ability	printed		This creature enters with four +1/+0 counters on it.	~ enters with four +N/+N counters on it.	ok	0	replacement_effect	yes	yes	yes	none	614.1c	enters_replacement		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	3d5b71d4-ed5e-4c6d-be70-bebbb1475257	Clockwork Avian	Artifact Creature — Bird	2		0	0	3	triggered_ability	ability	printed		At end of combat, if this creature attacked or blocked this combat, remove a +1/+0 counter from it.	At end of combat, if ~ attacked or blocked this combat, remove a +N/+N counter from it.	ok	0	triggered_ability	yes	yes	yes	none	603.1	intervening_if;recurring_end_of_combat		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	Recurring 'At end of combat, if ...' trigger correctly left whole (Clockwork Beast class).
atq	3d5b71d4-ed5e-4c6d-be70-bebbb1475257	Clockwork Avian	Artifact Creature — Bird	3		0	0	4	activated_ability	ability	printed		{X}, {T}: Put up to X +1/+0 counters on this creature. This ability can't cause the total number of +1/+0 counters on this creature to be greater than four. Activate only during your upkeep.	{M}, {M}: Put up to X +N/+N counters on ~. This ability can't cause the total number of +N/+N counters on ~ to be greater than four. Activate only during your upkeep.	ok	0	activated_ability	yes	yes	yes	none	602.1b	activation_instruction;multi_sentence	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	9be9625e-b98b-416b-aac4-9f7b2dfbd39d	Colossus of Sardia	Artifact Creature — Golem	0		0	0	1	keyword_ability	ability	printed		Trample	Trample	ok	0	keyword_ability	yes	yes	yes	cr	702.19	keyword		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	9be9625e-b98b-416b-aac4-9f7b2dfbd39d	Colossus of Sardia	Artifact Creature — Golem	1		0	0	2	spell_or_static_text	ability	printed		This creature doesn't untap during your untap step.	~ doesn't untap during your untap step.	ok	0	spell_or_static_text	yes	yes	yes	none		untap_restriction		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	9be9625e-b98b-416b-aac4-9f7b2dfbd39d	Colossus of Sardia	Artifact Creature — Golem	2		0	0	3	activated_ability	ability	printed		{9}: Untap this creature. Activate only during your upkeep.	{M}: Untap ~. Activate only during your upkeep.	ok	0	activated_ability	yes	yes	yes	none	602.1b	activation_instruction;multi_sentence		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	aa2970c8-f2ea-4e06-8b8f-ec89af0012a0	Coral Helm	Artifact	0		0	0	1	activated_ability	ability	printed		{3}, Discard a card at random: Target creature gets +2/+2 until end of turn.	{M}, Discard a card at random: Target creature gets +N/+N until end of turn.	ok	0	activated_ability	yes	yes	yes	none		nonmana_cost		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	8d6e39b0-a190-40a0-a8e1-ee82f477376f	Crumble	Instant	0		0	0	1	spell_or_static_text	ability	printed		Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its mana value.	Destroy target artifact. It can't be regenerated. That artifact's controller gains life equal to its mana value.	ok	0	spell_or_static_text	yes	yes	yes	none		multi_sentence		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	4f04603f-8f91-405b-b6ac-d2b66f05e32f	Cursed Rack	Artifact	0		0	0	1	replacement_effect	ability	printed		As this artifact enters, choose an opponent.	As ~ enters, choose an opponent.	ok	0	replacement_effect	yes	yes	yes	none	614.1c	enters_replacement;remembered_choice		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	4f04603f-8f91-405b-b6ac-d2b66f05e32f	Cursed Rack	Artifact	1		0	0	2	spell_or_static_text	ability	printed		The chosen player's maximum hand size is four.	The chosen player's maximum hand size is four.	ok	0	spell_or_static_text	yes	yes	yes	none		remembered_choice		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	6b2184ce-d6b1-411e-80ac-05a6e5993a39	Damping Field	Enchantment	0		0	0	1	spell_or_static_text	ability	printed		Players can't untap more than one artifact during their untap steps.	Players can't untap more than one artifact during their untap steps.	ok	0	spell_or_static_text	yes	yes	yes	none		untap_restriction		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	daa90a75-c600-41bd-9311-ec21cf51480b	Detonate	Sorcery	0		0	0	1	spell_or_static_text	ability	printed		Destroy target artifact with mana value X. It can't be regenerated. Detonate deals X damage to that artifact's controller.	Destroy target artifact with mana value X. It can't be regenerated. ~ deals X damage to that artifact's controller.	ok	0	spell_or_static_text	yes	yes	yes	none		multi_sentence;self_reference_name		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	24a78116-d5e0-4e30-b192-d8bffe347a0c	Drafna's Restoration	Sorcery	0		0	0	1	spell_or_static_text	ability	printed		Put any number of target artifact cards from target player's graveyard on top of their library in any order.	Put any number of target artifact cards from target player's graveyard on top of their library in any order.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	727a6474-d5b5-42ab-ace3-352d28f499eb	Dragon Engine	Artifact Creature — Construct	0		0	0	1	activated_ability	ability	printed		{2}: This creature gets +1/+0 until end of turn.	{M}: ~ gets +N/+N until end of turn.	ok	0	activated_ability	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	a3541870-3dc9-4571-be98-c0a2b6c468fb	Dwarven Weaponsmith	Creature — Dwarf Artificer	0		0	0	1	activated_ability	ability	printed		{T}, Sacrifice an artifact: Put a +1/+1 counter on target creature. Activate only during your upkeep.	{M}, Sacrifice an artifact: Put a +N/+N counter on target creature. Activate only during your upkeep.	ok	0	activated_ability	yes	yes	yes	none	602.1b	activation_instruction;multi_sentence;nonmana_cost	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	7a756cd1-29a8-4edf-bb74-fbb5b4020022	Energy Flux	Enchantment	0		0	0	1	spell_or_static_text	ability	printed		All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."	All artifacts have "[ability]"	ok	0	spell_or_static_text	yes	yes	yes	none		granted_quoted_parent		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	7a756cd1-29a8-4edf-bb74-fbb5b4020022	Energy Flux	Enchantment	1	0	1	0	1	triggered_ability	granted	printed		At the beginning of your upkeep, sacrifice this artifact unless you pay {2}.	At the beginning of your upkeep, sacrifice ~ unless you pay {M}.	ok	0	triggered_ability	yes	yes	yes	none	603.1	granted_quoted		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	9b884dfd-59f4-45c0-bf1e-6ad9f5b58895	Feldon's Cane	Artifact	0		0	0	1	activated_ability	ability	printed		{T}, Exile this artifact: Shuffle your graveyard into your library.	{M}, Exile ~: Shuffle your graveyard into your library.	ok	0	activated_ability	yes	yes	yes	none		nonmana_cost	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	a4b60080-3f80-4aeb-8bd9-7953e77aaf75	Gaea's Avenger	Creature — Treefolk	0		0	0	1	characteristic_defining_ability	ability	printed		Gaea's Avenger's power and toughness are each equal to 1 plus the number of artifacts your opponents control.	~'s power and toughness are each equal to N plus the number of artifacts your opponents control.	ok	0	characteristic_defining_ability	yes	yes	yes	type_line	604.3a	cda;self_reference_name		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	bbb005de-bbba-458e-87c1-912a004e80da	Gate to Phyrexia	Enchantment	0		0	0	1	activated_ability	ability	printed		Sacrifice a creature: Destroy target artifact. Activate only during your upkeep and only once each turn.	Sacrifice a creature: Destroy target artifact. Activate only during your upkeep and only once each turn.	ok	0	activated_ability	yes	yes	yes	none	602.1b	activation_instruction;multi_sentence;nonmana_cost		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	ec85a375-fe38-4b11-af0e-f2b466181dd7	Goblin Artisans	Creature — Goblin Artificer	0		0	0	1	activated_ability	ability	printed		{T}: Flip a coin. If you win the flip, draw a card. If you lose the flip, counter target artifact spell you control that isn't the target of an ability from another creature named Goblin Artisans.	{M}: Flip a coin. If you win the flip, draw a card. If you lose the flip, counter target artifact spell you control that isn't the target of an ability from another creature named Goblin Artisans.	ok	0	activated_ability	yes	yes	yes	none	705.1;201.5	coin_flip;multi_sentence;name_predicate	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	'another creature named Goblin Artisans' is a name predicate; normalization must preserve it (V7).
atq	95197f8f-c24e-4d13-a106-7186b3cc59e0	Golgothian Sylex	Artifact	0		0	0	1	activated_ability	ability	printed		{1}, {T}: Each nontoken permanent with a name originally printed in the Antiquities expansion is sacrificed by its controller.	{M}, {M}: Each nontoken permanent with a name originally printed in the Antiquities expansion is sacrificed by its controller.	ok	0	activated_ability	yes	yes	yes	none		one_off_candidate;set_reference	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	23f73983-0337-4464-8817-5f7596d65b38	Grapeshot Catapult	Artifact Creature — Construct	0		0	0	1	activated_ability	ability	printed		{T}: This creature deals 1 damage to target creature with flying.	{M}: ~ deals N damage to target creature with flying.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	cbd2d38b-6402-44b7-ba27-d854268e31d0	Haunting Wind	Enchantment	0		0	0	1	triggered_ability	ability	printed		Whenever an artifact becomes tapped or a player activates an artifact's ability without {T} in its activation cost, this enchantment deals 1 damage to that artifact's controller.	Whenever an artifact becomes tapped or a player activates an artifact's ability without {M} in its activation cost, ~ deals N damage to that artifact's controller.	ok	0	triggered_ability	yes	yes	yes	none		compound_trigger_event;cost_symbol_in_condition	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	'{T}' appears inside the trigger condition, not as a cost; the tap_as_mana flag here is a false positive of the regex.
atq	ed1e5d24-c8a8-48fe-a88f-1003ad432477	Hurkyl's Recall	Instant	0		0	0	1	spell_or_static_text	ability	printed		Return all artifacts target player owns to their hand.	Return all artifacts target player owns to their hand.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	d416a4ed-9f16-4a8b-8aee-03c630e1eb6c	Ivory Tower	Artifact	0		0	0	1	triggered_ability	ability	printed		At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4.	At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus N.	ok	0	triggered_ability	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	32d9fd98-142b-41d2-b8f0-40ae1d4cb991	Jalum Tome	Artifact — Book	0		0	0	1	activated_ability	ability	printed		{2}, {T}: Draw a card, then discard a card.	{M}, {M}: Draw a card, then discard a card.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	7ca54a23-f8eb-4982-b4ee-7392e2f2a1b3	Martyrs of Korlis	Creature — Human	0		0	0	1	replacement_effect	ability	printed		As long as this creature is untapped, all damage that would be dealt to you by artifacts is dealt to this creature instead.	As long as ~ is untapped, all damage that would be dealt to you by artifacts is dealt to ~ instead.	ok	0	replacement_effect	yes	yes	yes	none	614.1a	conditional_static;redirect_replacement		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	2f578020-9b39-4c61-8b0b-6d29187e022a	Mightstone	Artifact	0		0	0	1	spell_or_static_text	ability	printed		Attacking creatures get +1/+0.	Attacking creatures get +N/+N.	ok	0	spell_or_static_text	yes	yes	yes	none				accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	3212e47a-5492-4c50-9d4a-6ea562f1a6e1	Millstone	Artifact	0		0	0	1	activated_ability	ability	printed		{2}, {T}: Target player mills two cards.	{M}, {M}: Target player mills two cards.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	5963e0ef-e0bc-4611-ad4f-813a4c0eacfb	Mishra's Factory	Land	0		0	0	1	activated_ability	ability	printed		{T}: Add {C}.	{M}: Add {M}.	ok	0	activated_ability	yes	yes	yes	none	605.1a	mana_ability	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	5963e0ef-e0bc-4611-ad4f-813a4c0eacfb	Mishra's Factory	Land	1		0	0	2	activated_ability	ability	printed		{1}: This land becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.	{M}: ~ becomes a N/N Assembly-Worker artifact creature until end of turn. It's still a land.	ok	0	activated_ability	yes	yes	yes	none		animate_effect;multi_sentence		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	5963e0ef-e0bc-4611-ad4f-813a4c0eacfb	Mishra's Factory	Land	2		0	0	3	activated_ability	ability	printed		{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.	{M}: Target Assembly-Worker creature gets +N/+N until end of turn.	ok	0	activated_ability	yes	yes	yes	none			collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	18b1f96f-de35-4f0a-8b0e-81576471fd15	Mishra's War Machine	Artifact Creature — Juggernaut	0		0	0	1	keyword_ability	ability	printed		Banding	Banding	ok	0	keyword_ability	yes	yes	yes	cr	702.22	keyword		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	18b1f96f-de35-4f0a-8b0e-81576471fd15	Mishra's War Machine	Artifact Creature — Juggernaut	1		0	0	2	triggered_ability	ability	printed		At the beginning of your upkeep, this creature deals 3 damage to you unless you discard a card. If it deals damage to you this way, tap it.	At the beginning of your upkeep, ~ deals N damage to you unless you discard a card. If it deals damage to you this way, tap it.	ok	0	triggered_ability	yes	yes	yes	none		multi_sentence;optional_payment		accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
atq	ba284fe6-bb29-455c-8321-9714a0cdc05e	Mishra's Workshop	Land	0		0	0	1	activated_ability	ability	printed		{T}: Add {C}{C}{C}. Spend this mana only to cast artifact spells.	{M}: Add {M}{M}{M}. Spend this mana only to cast artifact spells.	ok	0	activated_ability	yes	yes	yes	none	106.6	mana_ability;mana_restriction;multi_sentence	collision:tap_as_mana	accept	fable-pass1;fork-pass2;adjudicated-2026-08-26	
